Filter #,Cruise,Sample_ID,BIOREP_OF,DATE (YYYYMMDD),GMT-,LINE START,STATION START,STATION_ID_START,TIME START,LAT START,LONG START,LINE END,STATION END,STATION_ID_END,DATE_END,TIME END,LAT END,LONG END ,VOLUME FILTERED (L),SAMPLE TYPE,SAMPLE DESCRIPTION,INSHORE.OFFSHORE,Technician,Biological_notes,Technical_notes,Seafood_served,CTD Cast #,CTD Cast Time (HH:MM),CTD Time At Depth (HH:MM),Bottle_num,Depth (m),Storage box,Storage location,Cut_filter_storage_location
F153,SH2607,SH2607_F153,,20260711,7,80.0,60.0,80-60,00:21,34.1464,121.1794,80.0,70.0,80-70,20260711,01:26,34.0555,121.3608,13.25,MOSAIC-B,first hour,OFFSHORE,EGC,,,"shrimp, lobster",,,,,5,3,,
F154,SH2607,SH2607_F154,,20260711,7,80.0,60.0,80-60,01:33,34.0435,121.3860,80.0,70.0,80-70,20260711,02:41,33.9535,121.5640,22,MOSAIC-B,second hour,OFFSHORE,EGC,,dropped cryovial half after folding,"shrimp, lobster",,,,,5,3,,
F155,SH2607,SH2607_F155,,20260711,7,80.0,60.0,80-60,02:55,33.9535,121.5640,80.0,70.0,80-70,20260711,04:22,33.8190,121.8375,28,MOSAIC-B,last hour,OFFSHORE,EGC,,start coordinates estimated based on end of last filter because i forgot to take a picture,"shrimp, lobster",,,,,5,3,,
F156,SH2607,SH2607_F156,,20260711,7,80.0,70.0,80-70,04:34,33.8190,121.8375,80.0,70.0,80-70,20260711,04:48,33.8196,121.8381,20,MOSAIC-E,on station,OFFSHORE,EGC,,start coordinates estimated based on end of last filter because i forgot to take a picture,"shrimp, lobster",,,,,5,3,,
F157,SH2607,SH2607_F157,,20260711,7,80.0,70.0,80-70,06:39,33.8251,121.8605,80.0,80.0,80-80,20260711,07:36,33.7331,122.0216,18.5,MOSAIC-B,first hour,OFFSHORE,EGC,,,"shrimp, lobster",,,,,5,3,,
F158,SH2607,SH2607_F158,,20260711,7,80.0,70.0,80-70,07:36,33.7331,122.0216,80.0,80.0,80-80,20260711,08:27,33.6615,122.1666,21.5,MOSAIC-B,second hour,OFFSHORE,EGC,,,"shrimp, lobster",,,,,5,3,,
F159,SH2607,SH2607_F159,,20260711,7,80.0,70.0,80-70,08:27,33.6615,122.1666,80.0,80.0,80-80,20260711,10:29,33.4805,122.5238,64.25,MOSAIC-B,last hour,OFFSHORE,EGC,,long filter because station ETA changed ,"shrimp, lobster",,,,,5,3,,
F160,SH2607,SH2607_F160,,20260711,7,80.0,80.0,80-80,10:45,33.4811,122.5269,80.0,80.0,80-80,20260711,10:52,33.4812,122.5273,20,MOSAIC-E,on station,OFFSHORE,EGC,,,"shrimp, lobster",,,,,5,3,,
F161,SH2607,SH2607_F161,,20260711,7,80.0,80.0,80-80,12:47,33.5043,-122.5605,80.0,90.0,80-90,20260711,13:48,33.3990,-122.7336,19,MOSAIC-B,,OFFSHORE,NVP,,,"shrimp, lobster",,,,,5,3,,
F162,SH2607,SH2607_F162,,20260711,7,80.0,80.0,80-80,13:49,33.3990,-122.7336,80.0,90.0,80-90,20260711,14:50,33.2957,-122.9206,14.5,MOSAIC-B,,OFFSHORE,NVP,,,"shrimp, lobster",,,,,5,3,,
F163,SH2607,SH2607_F163,,20260711,7,80.0,80.0,80-80,14:52,33.2957,-122.9206,80.0,90.0,80-90,20260711,15:52,33.2010,-123.1144,26,MOSAIC-B,,OFFSHORE,NVP,,,"shrimp, lobster",,,,,5,3,,
F164,SH2607,SH2607_F164,,20260711,7,80.0,90.0,80-90,16:36,33.1508,-123.2211,80.0,90.0,80-90,20260711,17:16,33.1508,-123.2211,23,MOSAIC-E,,OFFSHORE,NVP,,,"shrimp, lobster",,,,,5,3,,
F165,SH2607,SH2607_F165,,20260711,7,80.0,90.0,80-90,18:33,33.1735,-123.2416,80.0,100.0,80-100,20260711,19:22,33.0917,-123.3848,22.5,MOSAIC-B,,OFFSHORE,NVP,,,"shrimp, lobster",,,,,5,3,,
F166,SH2607,SH2607_F166,,20260711,7,80.0,90.0,80-90,19:25,33.0917,-123.3848,80.0,100.0,80-100,20260711,20:22,32.9872,-123.5594,8.5,MOSAIC-B,,OFFSHORE,NVP,,,"shrimp, lobster",,,,,5,3,,
F167,SH2607,SH2607_F167,,20260711,7,80.0,90.0,80-90,20:24,32.9872,-123.5594,80.0,100.0,80-100,20260711,21:37,32.8734,-123.7892,18,MOSAIC-B,,OFFSHORE,NVP,,,"shrimp, lobster",,,,,5,3,,
F168,SH2607,SH2607_F168,,20260711,7,80.0,100.0,80-100,22:31,32.8175,-123.9041,80.0,100.0,80-100,20260711,23:02,32.8175,-123.9041,21.5,MOSAIC-E,,OFFSHORE,NVP,,,"shrimp, lobster",,,,,5,3,,
F169,SH2607,SH2607_F169,,20260712,7,80.0,100.0,80-100,00:20,32.8335,123.9066,76.7,90.0,76.7-90,20260712,01:36,33.0303,123.8420,24.5,MOSAIC-B,first hour,OFFSHORE,EGC,,,cod,,,,,5,3,,
F170,SH2607,SH2607_F170,,20260712,7,80.0,100.0,80-100,01:45,33.0589,123.8334,76.7,90.0,76.7-90,20260712,02:45,33.2107,123.7877,28,MOSAIC-B,second hour,OFFSHORE,EGC,,,cod,,,,,5,3,,
F171,SH2607,SH2607_F171,,20260712,7,80.0,100.0,80-100,02:45,33.2107,123.7877,76.7,90.0,76.7-90,20260712,03:58,33.4081,123.7277,12.5,MOSAIC-B,third hour,OFFSHORE,EGC,,,cod,,,,,5,3,,
F172,SH2607,SH2607_F172,,20260712,7,80.0,100.0,80-100,03:58,33.4081,123.7277,76.7,90.0,76.7-90,20260712,06:03,33.7190,123.6326,26.5,MOSAIC-B,last hour,OFFSHORE,EGC,,long two hour transect because i missed the one hour mark and wanted to finish the transect,cod,,,,,5,3,,
F173,SH2607,SH2607_F173,,20260712,7,NA,NA,NA-NA,05:50,NA,NA,NA,NA,NA-NA,20260712,06:23,NA,NA,3,NEG,negative control,OFFSHORE,EGC,,,cod,,,,,5,3,,
F174,SH2607,SH2607_F174,,20260712,7,76.7,90.0,76.7-90,06:17,33.7183,123.6345,76.7,90.0,76.7-90,20260712,06:30,33.7183,123.6364,29.5,MOSAIC-E,on station,OFFSHORE,EGC,,,cod,,,,,5,3,,
F175,SH2607,SH2607_F175,,20260712,7,76.7,90.0,76.7-90,07:30,33.7418,123.6337,76.7,80.0,76.7-80,20260712,08:22,33.8074,123.4654,16.5,MOSAIC-B,first hour,OFFSHORE,EGC,,,cod,,,,,5,3,,
F176,SH2607,SH2607_F176,,20260712,7,76.7,90.0,76.7-90,08:22,33.8074,123.4654,76.7,80.0,76.7-80,20260712,09:25,33.8949,123.2744,12.5,MOSAIC-B,second hour,OFFSHORE,EGC,,huge bubble covering 50 percent of filter,cod,,,,,5,3,,
F177,SH2607,SH2607_F177,,20260712,7,76.7,90.0,76.7-90,09:25,33.8949,123.2744,76.7,80.0,76.7-80,20260712,10:18,33.9725,123.1133,9,MOSAIC-B,third hour,OFFSHORE,EGC,,suspiciously light,cod,,,,,5,3,,
F178,SH2607,SH2607_F178,,20260712,7,76.7,90.0,76.7-90,10:18,33.9725,123.1133,76.7,80.0,76.7-80,20260712,11:19,34.0515,122.9328,26.5,MOSAIC-B,last hour,OFFSHORE,EGC,,,cod,,,,,5,3,,
F179,SH2607,SH2607_F179,,20260712,7,76.7,80.0,76.7-80,11:19,34.0515,122.9328,76.7,80.0,76.7-80,20260712,11:32,34.0512,122.9337,20,MOSAIC-E,on station,OFFSHORE,EGC,,carboy overflow,cod,,,,,5,3,,
F180,SH2607,SH2607_F180,,20260712,7,76.7,80.0,76.7-80,13:50,34.0819,-122.9020,76.7,70.0,76.7-70,20260712,14:50,34.1637,-122.7149,29.5,MOSAIC-B,,OFFSHORE,NVP,,,cod,,,,,5,3,,
F181,SH2607,SH2607_F181,,20260712,7,76.7,80.0,76.7-80,14:56,34.1737,-122.6945,76.7,70.0,76.7-70,20260712,16:05,34.2732,-122.4875,15,MOSAIC-B,,OFFSHORE,NVP,,,cod,,,,,5,3,,
F182,SH2607,SH2607_F182,,20260712,7,76.7,80.0,76.7-80,16:06,34.2732,-122.4875,76.7,70.0,76.7-70,20260712,17:05,34.3538,-122.3205,20,MOSAIC-B,,OFFSHORE,NVP,,,cod,,,,,5,3,,
F183,SH2607,SH2607_F183,,20260712,7,76.7,70.0,76.7-70,17:42,34.3885,-122.2470,76.7,70.0,76.7-70,20260712,18:18,34.3885,-122.2470,10.5,MOSAIC-E,,OFFSHORE,NVP,,,cod,,,,,5,3,,
F184,SH2607,SH2607_F184,,20260712,7,76.7,70.0,76.7-70,19:28,34.4259,-122.2017,76.7,60.0,76.7-60,20260712,20:22,34.4988,-122.0285,25,MOSAIC-B,,OFFSHORE,NVP,,,cod,,,,,5,3,,
F185,SH2607,SH2607_F185,,20260712,7,76.7,70.0,76.7-70,20:24,34.4988,-122.0285,76.7,60.0,76.7-60,20260712,21:29,34.5881,-121.8272,28,MOSAIC-B,,OFFSHORE,NVP,,,cod,,,,,5,3,,
F186,SH2607,SH2607_F186,,20260712,7,76.7,70.0,76.7-70,21:32,34.5881,-121.8272,76.7,60.0,76.7-60,20260712,22:25,34.6606,-121.6757,22.5,MOSAIC-B,,OFFSHORE,NVP,,,cod,,,,,5,3,,
F187,SH2607,SH2607_F187,,20260712,7,76.7,60.0,76.7-60,23:14,34.7226,121.5637,76.7,60.0,76.7-60,20260713,00:22,34.7226,121.5637,7.5,MOSAIC-E,on station,OFFSHORE,NVP/EGC,,,,,,,,5,3,,
F188,SH2607,SH2607_F188,,20260713,7,76.7,60.0,76.7-60,00:40,34.7274,121.5571,76.7,55.0,76.7-55,20260713,01:46,34.8099,121.3628,11.5,MOSAIC-B,first hour,OFFSHORE,EGC,,so juicy it turned the forceps brown. clogged.,,,,,,5,3,,
F189,SH2607,SH2607_F189,,20260713,7,76.7,60.0,76.7-60,01:56,34.8253,121.3304,76.7,55.0,76.7-55,20260713,02:49,34.8888,121.2001,15.5,MOSAIC-B,last hour,OFFSHORE,EGC,,includes some of the station,,,,,,5,3,,
F190,SH2607,SH2607_F190,,20260713,7,76.7,55.0,76.7-55,02:49,34.8888,121.2001,76.7,55.0,76.7-55,20260713,03:12,34.8880,121.2037,20.5,MOSAIC-E,on station,ONSHORE,EGC,,gross and slimy,,,,,,5,3,,
F191,SH2607,SH2607_F191,,20260713,7,76.7,55.0,76.7-55,04:16,34.9079,121.2087,76.7,51.0,76.7-51,20260713,05:58,35.0209,120.9179,47.75,MOSAIC-B,full transect,ONSHORE,EGC,,gross and slimy,,,,,,5,3,,
F192,SH2607,SH2607_F192,,20260713,7,76.7,51.0,76.7-51,06:00,35.0209,120.9179,76.7,51.0,76.7-51,20260713,06:13,35.0184,120.9187,20,MOSAIC-E,on station,ONSHORE,EGC,,dropped folded filter on shop towel,,,,,,5,3,,
F193,SH2607,SH2607_F193,,20260713,7,76.7,49.0,76.7-49,08:03,35.0883,120.7783,76.7,49.0,76.7-49,20260713,08:21,35.0902,120.7861,15,MOSAIC-E,on station,ONSHORE,EGC,,dropped swinnex in drip bucket. gross and slimy.,,,,,,5,3,,
